Outer_Fold,Model,Train_RMSE,Train_R2,Test_RMSE,Test_MAE,Test_R2,N_Train,N_Test
1,Ridge,68.84432148593505,0.6859809380969958,70.16735493572781,38.0354671320832,0.499182934346471,3284,3283
1,RF,35.518719337657544,0.9164138425195836,80.51990718694239,46.77041522630281,0.3404990284902878,3284,3283
1,XGB,8.38611969143083,0.9953404664993286,87.8437305451775,56.026947021484375,0.215070903301239,3284,3283
1,LGBM,28.612118539217146,0.9457599857216892,74.47540847820059,42.31156603343595,0.43579790275409125,3284,3283
2,Ridge,68.27439293359656,0.6259636891127724,67.67165982976582,34.89719337324681,0.5648858324144784,6567,3283
2,RF,41.210023147972116,0.8637288919394892,78.88552995757573,39.76839089300381,0.408732154523063,6567,3283
2,XGB,15.523847385441677,0.9806626439094543,83.4832885831425,55.395164489746094,0.3378008008003235,6567,3283
2,LGBM,35.98392697491979,0.8961000870115711,66.3271301257095,33.66831395089596,0.5820041407493923,6567,3283
3,Ridge,67.66656953524367,0.6125946890391268,62.94146667778882,27.759539815627022,0.5966250300640157,9850,3283
3,RF,42.562913960461636,0.8467219534422268,71.14146990769373,35.280254491949904,0.48467537365180546,9850,3283
3,XGB,20.13947491140301,0.9656826853752136,88.39594043368875,62.31197738647461,0.20439064502716064,9850,3283
3,LGBM,39.293087023338224,0.8693680075984158,62.57300604715181,30.466067393891493,0.6013339371979811,9850,3283
4,Ridge,66.3974177645473,0.6105359704572182,62.97787148090265,28.415652854219815,0.5861922701731832,13133,3283
4,RF,42.77823071940743,0.8383370087114207,78.6686672410487,38.56442749123077,0.3543067778602579,13133,3283
4,XGB,22.93596459012979,0.9535271525382996,74.06325817122482,40.45270538330078,0.42769402265548706,13133,3283
4,LGBM,40.76764354095011,0.8531762907847631,62.926374035814064,30.67700374242787,0.5868687404208598,13133,3283
5,Ridge,65.66216749809305,0.607074326661877,60.15447965306953,27.661200425701114,0.5532052795930615,16416,3283
5,RF,43.4728042768188,0.8277674273939784,86.7086711008341,54.37487033301477,0.07168120309305048,16416,3283
5,XGB,25.967685278263396,0.9385465383529663,168.1150148057127,130.89950561523438,-2.489675760269165,16416,3283
5,LGBM,42.37723704434169,0.8363389804907412,68.47633842636529,45.11524584191313,0.4210338897714846,16416,3283
